# Super-large sets analysis (sets with size > 6754)
#set_id	chunk_id	basechunk_id
1	18267	6703
1	18274	13551
1	18280	18267
1	18286	18274
1	18292	18280
1	18296	18267
1	18300	6523
1	18304	18300
1	18308	6510
1	18312	18280
1	18316	18304
1	18320	18286
1	18324	18312
1	18333	18296
1	18338	18304
1	18342	18292
1	18346	18316
1	18350	18304
1	18354	12289
1	18361	18267
1	18367	18361
1	18372	18361
1	18377	13551
1	18384	11500
1	18396	6505
1	18401	18384
1	18407	18401
1	18412	18384
1	18417	18401
1	18422	18412
1	18427	18422
1	18446	14331
1	18593	8248
1	18797	16883
1	18887	5322
1	18895	10460
1	19048	8056
1	19053	8056
1	19078	18158
1	19095	17791
1	19100	14611
1	19105	9704
1	19110	9699
1	19114	14228
1	19118	18593
1	19294	18354
1	19359	13538
1	19377	16912
1	19382	16883
1	19633	17328
1	19638	17383
1	19642	19638
1	19646	17383
1	19650	19646
1	19654	17364
1	19658	19650
1	19662	19650
1	19666	19662
1	19671	19654
1	19675	19662
1	19679	17383
1	19683	19646
1	19687	19679
1	19791	2750
1	19798	2765
1	19814	9693
1	19842	19100
1	19847	13792
1	19858	2750
1	20012	18115
1	20019	8160
1	20025	20019
1	20033	20025
1	20042	20025
1	20048	20019
1	20057	20033
1	20064	20057
1	20071	20033
1	20078	20057
1	20398	14800
1	20481	8056
1	20488	6042
1	20498	9656
1	20502	20498
1	20506	20502
1	20510	17143
1	20515	4277
1	20533	3732
1	20540	11145
1	20544	19382
1	20551	12113
1	20576	5458
1	20715	10055
1	20776	14234
1	20838	8988
1	20842	14315
1	20848	20776
1	20853	17012
1	20858	20853
1	20863	20858
1	20867	20863
1	20871	20858
1	20876	20867
1	20881	20863
1	20885	20858
1	20889	20863
1	20894	20867
1	20898	20867
1	20903	20889
1	20911	17157
1	20922	17152
1	20926	20894
1	20934	20889
1	20938	20926
1	20947	20881
1	20957	20934
1	21087	5458
1	21094	10475
1	21118	11783
1	21122	9406
1	21127	11506
1	21134	10272
1	21139	21127
1	21144	21139
1	21149	21134
1	21158	21139
1	21320	18887
1	21341	17328
1	21345	11133
1	21349	19638
1	21353	18342
1	21457	3584
1	21462	5105
1	21466	14018
1	21734	3259
1	21740	21734
1	21744	21740
1	21749	21740
1	21753	21740
1	21757	21740
1	21763	21734
1	21776	21753
1	21781	21740
1	21785	21753
1	21789	21740
1	21932	17328
1	21937	21932
1	21947	11118
1	21951	21947
1	22159	8248
1	22352	17457
1	22356	21466
1	22360	12836
1	22377	18267
1	22381	18267
1	22386	22381
1	22390	22386
1	22403	22381
1	22411	22381
1	22415	18346
1	22424	22411
1	22428	10278
1	22432	22390
1	22436	22381
1	22440	22415
1	22444	18361
1	22452	22381
1	22457	22436
1	22462	22452
1	22478	22452
1	22482	9666
1	22680	6042
1	22686	4301
1	22691	22686
1	22696	9671
1	22804	17853
1	22811	10292
1	22819	11766
1	22834	18215
1	22903	9693
1	22908	11832
1	22933	14794
1	22951	21341
1	22959	11106
1	22963	11106
1	22967	21937
1	22972	11106
1	22977	11101
1	22982	18286
1	22991	22951
1	22996	19662
1	23000	11101
1	23004	22967
1	23008	22959
1	23012	11094
1	23016	11133
1	23020	14315
1	23027	14315
1	23061	21094
1	23065	4277
1	23080	14315
1	23087	23080
1	23107	9693
1	23240	4342
1	23245	8248
1	23253	3259
1	23263	20510
1	23346	6499
